tweet,favorites,retweets,user,date,hour
Michal Stencl: Cesta reportu z dat k zodpovednym lidem je pri tymu 5 lidi dlouha sedm dnu... #dataconf14,0,0,vojtano_k,22/11/2014,16
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,tomexx,22/11/2014,16
"RT @PetrTwo: ""Big data = data, ktera uz nezvladate zpracovavat."" #DataConf14 http://t.co/DXk63k8LD1",0,3,new_POPE,22/11/2014,16
Najdi #DataConf14 na @klaboseni. http://t.co/A85u2Etgyn,0,0,Martix_cz,22/11/2014,16
"RT @JustXsi: “Geniální taktikou moderní cenzury je, že vám neupírá přístup k informacím, naopak – zahltí vás.” @jakubmracek na #DataConf14",0,24,piratenewscz,22/11/2014,16
"RT @PetrTwo: Challenge: ""Zkusime udelat BI project behem prednasky"" #DataConf14 http://t.co/DaGlHNtYhH",0,1,dataconfcz,22/11/2014,16
"konecne prijde odpoved na otazku zivota, vesmiru a vubec #dataconf14 http://t.co/u8hQUqOpZe",1,0,edison23net,22/11/2014,16
Tohle bude taky o smyslu zivota? :) #DataConf14 http://t.co/WvjBaYcc3n,1,0,PetrTwo,22/11/2014,16
ziva implementace BI behem presentace… panove si zahravaji s ohnem; podari se to? xD #dataconf14,1,0,edison23net,22/11/2014,16
"@michaelstencl: ""Je to cas!"" #DataConf14 http://t.co/0mblYDkBPM",1,0,PetrVolny,22/11/2014,16
"Challenge: ""Zkusime udelat BI project behem prednasky"" #DataConf14 http://t.co/DaGlHNtYhH",0,1,PetrTwo,22/11/2014,16
"RT @zdrojak: Dnešek je plný akcí: #devfestcz v Praze, #DataConf14 v Brně a #barcampcz v Ostravě.",0,4,h_onza,22/11/2014,16
"7 dní je priemerný čas, kým sa dáta dostanú k zodpovednej osobe. Aj v malých firmách. #gooddata #DataConf14",3,0,davidtvrdon,22/11/2014,16
Když BI dává smysl... @michaelstencl #gooddata #DataConf14 http://t.co/RlWX177aDH,3,0,jirtob,22/11/2014,16
"RT @vitvolsicka: ""Když hledáte pravdu, potřebujete hromadu informací a dobře je analyzovat"" :) #DataConf14",0,1,VojtaRocek,22/11/2014,16
"RT @vojtano_k: Jak @VojtaRocek tak @MichalBuzek rikaji, ze nic neumi. Ale neumi to ocividne moc dobre #dataconf14",0,1,VojtaRocek,22/11/2014,16
RT @davidtvrdon: Prečo robí @VojtaRocek dátovú analytiku? Má rád pravdu. A pravda je v dátach :) #DataConf14,0,1,VojtaRocek,22/11/2014,16
